what,kind,bundleId,bundleVersion,description,time
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1356047498865
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1356047498865
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1356047498865
java.vm.specification.version,sysinfo,,,"1.0",1356047498865
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1356047498865
java.vm.version,sysinfo,,,"20.13-b02",1356047498865
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1356047499287
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1356047499294
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1356047499296
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1356047499297
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1356047499365
